price,date_str
3434.1,2019-01-31
3458.18,2019-01-30
3411.04,2019-01-29
3434.15,2019-01-28
3550.84,2019-01-27
3565.25,2019-01-26
3565.29,2019-01-25
3569.62,2019-01-24
3552.82,2019-01-23
3570.93,2019-01-22
3526.9,2019-01-21
3539.28,2019-01-20
3665.3,2019-01-19
3594.87,2019-01-18
3616.21,2019-01-17
3591.84,2019-01-16
3553.06,2019-01-15
3626.09,2019-01-14
3476.81,2019-01-13
3583.13,2019-01-12
3601.31,2019-01-11
3585.88,2019-01-10
3966.65,2019-01-09
3955.13,2019-01-08
3975.45,2019-01-07
3987.6,2019-01-06
3770.96,2019-01-05
3792.01,2019-01-04
3766.78,2019-01-03
3858.56,2019-01-02
3797.14,2019-01-01
3702.9,2018-12-31
3801.91,2018-12-30
3695.32,2018-12-29
3839.26,2018-12-28
3567.91,2018-12-27
3777.74,2018-12-26
3745.79,2018-12-25
4008.01,2018-12-24
3929.71,2018-12-23
3948.91,2018-12-22
3838.66,2018-12-21
4049.62,2018-12-20
3662.22,2018-12-19
3652.98,2018-12-18
3509.08,2018-12-17
3228.67,2018-12-16
3211.72,2018-12-15
3224.17,2018-12-14
3302.06,2018-12-13
3445.0,2018-12-12
3380.39,2018-12-11
3432.88,2018-12-10
3545.37,2018-12-09
3410.93,2018-12-08
3403.55,2018-12-07
3508.75,2018-12-06
3769.84,2018-12-05
3951.64,2018-12-04
3884.01,2018-12-03
4161.01,2018-12-02
4190.02,2018-12-01
4041.32,2018-11-30
4295.84,2018-11-29
4264.85,2018-11-28
3875.21,2018-11-27
3862.2,2018-11-26
4085.78,2018-11-25
3932.44,2018-11-24
4420.61,2018-11-23
4370.0,2018-11-22
4661.07,2018-11-21
4558.86,2018-11-20
4910.03,2018-11-19
5662.0,2018-11-18
5628.29,2018-11-17
5655.94,2018-11-16
5753.4,2018-11-15
5922.41,2018-11-14
6457.66,2018-11-13
6453.07,2018-11-12
6449.81,2018-11-11
6433.05,2018-11-10
6419.99,2018-11-09
6479.84,2018-11-08
6578.46,2018-11-07
6519.11,2018-11-06
6468.99,2018-11-05
6485.85,2018-11-04
6387.09,2018-11-03
6433.98,2018-11-02
6410.0,2018-11-01
6371.93,2018-10-31
6330.87,2018-10-30
6344.5,2018-10-29
6489.93,2018-10-28
6505.6,2018-10-27
6538.63,2018-10-26
6528.09,2018-10-25
6565.5,2018-10-24
6553.51,2018-10-23
6581.2,2018-10-22
6590.11,2018-10-21
6588.4,2018-10-20
6528.88,2018-10-19
6618.96,2018-10-18
6740.89,2018-10-17
6759.27,2018-10-16
6752.5,2018-10-15
6339.34,2018-10-14
6332.93,2018-10-13
6298.01,2018-10-12
6252.68,2018-10-11
6631.0,2018-10-10
6656.61,2018-10-09
6673.01,2018-10-08
6615.26,2018-10-07
6594.27,2018-10-06
6635.65,2018-10-05
6593.79,2018-10-04
6510.0,2018-10-03
6525.79,2018-10-02
6611.61,2018-10-01
6626.57,2018-09-30
6596.38,2018-09-29
6634.58,2018-09-28
6689.13,2018-09-27
6465.12,2018-09-26
6447.54,2018-09-25
6581.39,2018-09-24
6708.0,2018-09-23
6723.05,2018-09-22
6759.02,2018-09-21
6492.0,2018-09-20
6391.89,2018-09-19
6336.45,2018-09-18
6248.69,2018-09-17
6505.0,2018-09-16
6514.96,2018-09-15
6476.63,2018-09-14
6487.38,2018-09-13
6338.62,2018-09-12
6294.91,2018-09-11
6312.0,2018-09-10
6250.81,2018-09-09
6185.05,2018-09-08
6395.54,2018-09-07
6516.01,2018-09-06
6700.0,2018-09-05
7359.06,2018-09-04
7263.02,2018-09-03
7302.01,2018-09-02
7200.01,2018-09-01
7011.21,2018-08-31
6984.84,2018-08-30
7031.22,2018-08-29
7076.11,2018-08-28
6908.64,2018-08-27
6700.0,2018-08-26
6733.64,2018-08-25
6681.64,2018-08-24
6525.01,2018-08-23
6360.89,2018-08-22
6480.0,2018-08-21
6254.84,2018-08-20
6477.53,2018-08-19
6387.96,2018-08-18
6584.49,2018-08-17
6311.75,2018-08-16
6267.16,2018-08-15
6188.08,2018-08-14
6246.35,2018-08-13
6308.33,2018-08-12
6232.35,2018-08-11
6144.01,2018-08-10
6529.79,2018-08-09
6285.0,2018-08-08
6720.06,2018-08-07
6934.82,2018-08-06
7024.19,2018-08-05
7009.84,2018-08-04
7418.78,2018-08-03
7525.71,2018-08-02
7604.58,2018-08-01
7730.93,2018-07-31
8173.92,2018-07-30
8211.0,2018-07-29
8225.04,2018-07-28
8188.57,2018-07-27
7920.0,2018-07-26
8175.64,2018-07-25
8397.24,2018-07-24
7721.01,2018-07-23
7394.79,2018-07-22
7398.78,2018-07-21
7337.53,2018-07-20
7466.21,2018-07-19
7381.9,2018-07-18
7317.44,2018-07-17
6723.35,2018-07-16
6353.01,2018-07-15
6251.99,2018-07-14
6214.57,2018-07-13
6250.57,2018-07-12
6378.07,2018-07-11
6296.91,2018-07-10
6662.12,2018-07-09
6712.1,2018-07-08
6756.98,2018-07-07
6609.78,2018-07-06
6529.2,2018-07-05
6586.98,2018-07-04
6513.86,2018-07-03
6615.29,2018-07-02
6356.81,2018-07-01
6390.07,2018-06-30
6197.92,2018-06-29
5853.98,2018-06-28
6133.73,2018-06-27
6070.78,2018-06-26
6252.0,2018-06-25
6136.97,2018-06-24
6149.98,2018-06-23
6045.0,2018-06-22
6718.84,2018-06-21
6761.51,2018-06-20
6741.21,2018-06-19
6712.46,2018-06-18
6449.61,2018-06-17
6483.98,2018-06-16
6388.9,2018-06-15
6635.98,2018-06-14
6292.78,2018-06-13
6530.0,2018-06-12
6872.0,2018-06-11
6764.99,2018-06-10
7491.73,2018-06-09
7603.44,2018-06-08
7691.08,2018-06-07
7658.84,2018-06-06
7625.0,2018-06-05
7487.0,2018-06-04
7714.26,2018-06-03
7640.03,2018-06-02
7521.01,2018-06-01
7485.01,2018-05-31
7375.96,2018-05-30
7461.29,2018-05-29
7099.0,2018-05-28
7338.99,2018-05-27
7333.96,2018-05-26
7457.0,2018-05-25
7575.01,2018-05-24
7501.95,2018-05-23
7977.11,2018-05-22
8381.24,2018-05-21
8526.98,2018-05-20
8233.49,2018-05-19
8239.81,2018-05-18
8041.46,2018-05-17
8330.0,2018-05-16
8462.0,2018-05-15
8663.34,2018-05-14
8679.71,2018-05-13
8465.94,2018-05-12
8400.0,2018-05-11
9002.2,2018-05-10
9310.0,2018-05-09
9187.56,2018-05-08
9365.0,2018-05-07
9659.01,2018-05-06
9864.0,2018-05-05
9713.99,2018-05-04
9750.0,2018-05-03
9247.84,2018-05-02
9071.48,2018-05-01
9246.01,2018-04-30
9419.0,2018-04-29
9348.0,2018-04-28
8915.35,2018-04-27
9266.0,2018-04-26
8869.99,2018-04-25
9619.99,2018-04-24
8934.01,2018-04-23
8787.02,2018-04-22
8915.31,2018-04-21
8856.98,2018-04-20
8278.0,2018-04-19
8173.0,2018-04-18
7885.02,2018-04-17
8064.92,2018-04-16
8355.0,2018-04-15
7999.01,2018-04-14
7877.41,2018-04-13
7923.0,2018-04-12
6953.79,2018-04-11
6843.9,2018-04-10
6782.72,2018-04-09
7018.0,2018-04-08
6895.8,2018-04-07
6601.39,2018-04-06
6770.76,2018-04-05
6796.1,2018-04-04
7405.21,2018-04-03
7056.0,2018-04-02
6813.01,2018-04-01
6923.91,2018-03-31
6840.23,2018-03-30
7090.14,2018-03-29
7949.3,2018-03-28
7795.51,2018-03-27
8134.23,2018-03-26
8470.15,2018-03-25
8546.86,2018-03-24
8898.03,2018-03-23
8722.9,2018-03-22
8885.0,2018-03-21
8909.98,2018-03-20
8600.0,2018-03-19
8189.99,2018-03-18
7824.8,2018-03-17
8260.0,2018-03-16
8240.98,2018-03-15
8170.0,2018-03-14
9150.0,2018-03-13
9131.34,2018-03-12
9533.57,2018-03-11
8770.22,2018-03-10
9227.0,2018-03-09
9271.64,2018-03-08
9910.0,2018-03-07
10716.48,2018-03-06
11454.0,2018-03-05
11515.0,2018-03-04
11464.48,2018-03-03
11039.0,2018-03-02
10920.0,2018-03-01
10326.76,2018-02-28
10569.04,2018-02-27
10324.0,2018-02-26
9590.0,2018-02-25
9694.51,2018-02-24
10131.04,2018-02-23
9811.04,2018-02-22
10437.6,2018-02-21
11200.99,2018-02-20
11153.0,2018-02-19
10383.43,2018-02-18
11039.55,2018-02-17
10159.98,2018-02-16
10000.09,2018-02-15
9449.99,2018-02-14
8539.9,2018-02-13
8903.0,2018-02-12
8063.88,2018-02-11
8533.98,2018-02-10
8683.92,2018-02-09
7784.02,2018-02-08
7599.0,2018-02-07
7652.14,2018-02-06
6939.99,2018-02-05
8184.81,2018-02-04
9199.96,2018-02-03
8873.03,2018-02-02
9224.52,2018-02-01
10285.1,2018-01-31
10237.51,2018-01-30
11251.0,2018-01-29
11879.95,2018-01-28
11491.0,2018-01-27
11089.0,2018-01-26
11175.27,2018-01-25
11349.99,2018-01-24
10799.18,2018-01-23
10760.05,2018-01-22
11530.0,2018-01-21
12799.94,2018-01-20
11474.98,2018-01-19
10961.97,2018-01-18
10988.79,2018-01-17
10900.0,2018-01-16
13539.93,2018-01-15
13474.99,2018-01-14
14210.0,2018-01-13
13740.01,2018-01-12
13238.78,2018-01-11
14907.09,2018-01-10
14400.0,2018-01-09
14902.54,2018-01-08
16150.03,2018-01-07
17069.79,2018-01-06
16960.39,2018-01-05
15059.54,2018-01-04
14919.51,2018-01-03
14675.11,2018-01-02
13380.0,2018-01-01
13716.36,2017-12-31
12440.01,2017-12-30
14378.9,2017-12-29
